Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (3.3202, -19.1406, 48.7569) || Spherical Vector: (52.4844, 0.379156, -1.39904) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-3.3202, 19.1406, -48.7569) || Spherical Vector: (52.4844, 2.76244, 1.74255) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (11.6624, 33.2891, -38.8644) || Spherical Vector: (52.4844, 2.4046, 1.23382) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-11.6624, -33.2891, 38.8644) || Spherical Vector: (52.4844, 0.736993, -1.90777) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-22.693, 13.223, 45.44) || Spherical Vector: (52.4844, 0.524087, 2.614) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (22.693, -13.223, -45.44) || Spherical Vector: (52.4844, 2.61751, -0.527597) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (23.8496, 45.4244, -11.0653) || Spherical Vector: (52.4844, 1.78322, 1.08732) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-23.8496, -45.4244, 11.0653) || Spherical Vector: (52.4844, 1.35837, -2.05427) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-4.50054, -22.5459, -47.181) || Spherical Vector: (52.4844, 2.68817, -1.76782) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (4.50054, 22.5459, 47.181) || Spherical Vector: (52.4844, 0.453426, 1.37377) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-50.6635, 12.2614, 6.12224) || Spherical Vector: (52.4844, 1.45388, 2.90414) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (50.6635, -12.2614, -6.12224) || Spherical Vector: (52.4844, 1.68771, -0.237451) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (46.2538, 15.255, 19.5573) || Spherical Vector: (52.4844, 1.18896, 0.318576) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-46.2538, -15.255, -19.5573) || Spherical Vector: (52.4844, 1.95264, -2.82302) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-49.8994, 15.1064, 6.03857) || Spherical Vector: (52.4844, 1.45549, 2.84763) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (49.8994, -15.1064, -6.03857) || Spherical Vector: (52.4844, 1.68611, -0.293966) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-30.2908, 42.8241, -1.78282) || Spherical Vector: (52.4844, 1.60477, 2.18643) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (30.2908, -42.8241, 1.78282) || Spherical Vector: (52.4844, 1.53682, -0.955167) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (50.0575, 6.77646, 14.2457) || Spherical Vector: (52.4844, 1.29592, 0.134556) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-50.0575, -6.77646, -14.2457) || Spherical Vector: (52.4844, 1.84567, -3.00704) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (48.0558, 8.73272, -19.2093) || Spherical Vector: (52.4844, 1.9455, 0.179759) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-48.0558, -8.73272, 19.2093) || Spherical Vector: (52.4844, 1.19609, -2.96183) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
