Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 2 || Cartesian vector: (48.4175, 10.0374, -17.5957) || Spherical Vector: (52.4844, 1.91267, 0.204414) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-21.9559, -29.748, -37.2507) || Spherical Vector: (52.4844, 2.35994, -2.20661) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (21.9559, 29.748, 37.2507) || Spherical Vector: (52.4844, 0.781657, 0.93498) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (24.5155, -42.0972, -19.5302) || Spherical Vector: (52.4844, 1.95208, -1.04345) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-24.5155, 42.0972, 19.5302) || Spherical Vector: (52.4844, 1.18951, 2.09814) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (43.5592, -22.1533, -19.1428) || Spherical Vector: (52.4844, 1.94414, -0.470487) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-43.5592, 22.1533, 19.1428) || Spherical Vector: (52.4844, 1.19745, 2.67111) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-11.827, 29.0211, -42.1012) || Spherical Vector: (52.4844, 2.50171, 1.95778) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (11.827, -29.0211, 42.1012) || Spherical Vector: (52.4844, 0.639883, -1.18381) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (14.0272, -10.7638, -49.4165) || Spherical Vector: (52.4844, 2.79799, -0.654515) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-14.0272, 10.7638, 49.4165) || Spherical Vector: (52.4844, 0.343604, 2.48708) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-27.1979, 8.79668, 44.0171) || Spherical Vector: (52.4844, 0.57596, 2.82878) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (27.1979, -8.79668, -44.0171) || Spherical Vector: (52.4844, 2.56563, -0.312813) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (9.46046, -37.4447, -35.5389) || Spherical Vector: (52.4844, 2.31465, -1.32332) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-9.46046, 37.4447, 35.5389) || Spherical Vector: (52.4844, 0.826939, 1.81827) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-2.23953, -43.261, 29.6325) || Spherical Vector: (52.4844, 0.970853, -1.62252) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (2.23953, 43.261, -29.6325) || Spherical Vector: (52.4844, 2.17074, 1.51907) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (34.3692, -39.248, 5.74157) || Spherical Vector: (52.4844, 1.46118, -0.851574) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-34.3692, 39.248, -5.74157) || Spherical Vector: (52.4844, 1.68041, 2.29002) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-26.1688, -27.9457, 35.9005) || Spherical Vector: (52.4844, 0.817535, -2.32337) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (26.1688, 27.9457, -35.9005) || Spherical Vector: (52.4844, 2.32406, 0.818222) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-13.3843, 36.9022, 34.8383) || Spherical Vector: (52.4844, 0.844931, 1.91874) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (13.3843, -36.9022, -34.8383) || Spherical Vector: (52.4844, 2.29666, -1.22286) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (50.3133, 12.1224, -8.7312) || Spherical Vector: (52.4844, 1.73793, 0.236432) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-50.3133, -12.1224, 8.7312) || Spherical Vector: (52.4844, 1.40366, -2.90516) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-28.4064, 38.3014, -21.9247) || Spherical Vector: (52.4844, 2.00175, 2.20894) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (28.4064, -38.3014, 21.9247) || Spherical Vector: (52.4844, 1.13984, -0.932657) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (26.4731, -8.61196, 44.493) || Spherical Vector: (52.4844, 0.559094, -0.314512) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-26.4731, 8.61196, -44.493) || Spherical Vector: (52.4844, 2.5825, 2.82708) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-36.2723, -21.9565, 30.933) || Spherical Vector: (52.4844, 0.940511, -2.59727) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (36.2723, 21.9565, -30.933) || Spherical Vector: (52.4844, 2.20108, 0.544326) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-1.56771, -52.2096, 5.13004) || Spherical Vector: (52.4844, 1.4729, -1.60081) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (1.56771, 52.2096, -5.13004) || Spherical Vector: (52.4844, 1.6687, 1.54078) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (31.5735, -40.4709, 10.9473) || Spherical Vector: (52.4844, 1.36067, -0.908275) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-31.5735, 40.4709, -10.9473) || Spherical Vector: (52.4844, 1.78092, 2.23332) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (14.5769, 47.2355, 17.6335) || Spherical Vector: (52.4844, 1.22815, 1.27147) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-14.5769, -47.2355, -17.6335) || Spherical Vector: (52.4844, 1.91344, -1.87013) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-24.3786, 13.3677, -44.5152) || Spherical Vector: (52.4844, 2.5833, 2.64003) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (24.3786, -13.3677, 44.5152) || Spherical Vector: (52.4844, 0.558295, -0.501566) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (35.9224, -3.90838, -38.0647) || Spherical Vector: (52.4844, 2.3822, -0.108374) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-35.9224, 3.90838, 38.0647) || Spherical Vector: (52.4844, 0.759389, 3.03322) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-12.4557, 14.2579, 48.9508) || Spherical Vector: (52.4844, 0.369042, 2.28883) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (12.4557, -14.2579, -48.9508) || Spherical Vector: (52.4844, 2.77255, -0.852759) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (41.656, 0.409499, -31.9253) || Spherical Vector: (52.4844, 2.22469, 0.00983018) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-41.656, -0.409499, 31.9253) || Spherical Vector: (52.4844, 0.916903, -3.13176) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-2.405, 51.4962, 9.84755) || Spherical Vector: (52.4844, 1.38205, 1.61746) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (2.405, -51.4962, -9.84755) || Spherical Vector: (52.4844, 1.75954, -1.52413) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (30.6274, 15.1431, 39.8405) || Spherical Vector: (52.4844, 0.708879, 0.459181) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-30.6274, -15.1431, -39.8405) || Spherical Vector: (52.4844, 2.43271, -2.68241) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-45.6698, 5.1275, -25.3494) || Spherical Vector: (52.4844, 2.07486, 3.02979) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (45.6698, -5.1275, 25.3494) || Spherical Vector: (52.4844, 1.06673, -0.111805) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-26.8589, -43.8282, -10.5974) || Spherical Vector: (52.4844, 1.77411, -2.12059) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (26.8589, 43.8282, 10.5974) || Spherical Vector: (52.4844, 1.36748, 1.021) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-8.09496, -51.7915, 2.59484) || Spherical Vector: (52.4844, 1.52134, -1.72584) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (8.09496, 51.7915, -2.59484) || Spherical Vector: (52.4844, 1.62026, 1.41575) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-4.48765, -45.174, -26.3399) || Spherical Vector: (52.4844, 2.09654, -1.66981) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (4.48765, 45.174, 26.3399) || Spherical Vector: (52.4844, 1.04505, 1.47178) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-13.9956, -50.5415, -2.07299) || Spherical Vector: (52.4844, 1.6103, -1.84094) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (13.9956, 50.5415, 2.07299) || Spherical Vector: (52.4844, 1.53129, 1.30065) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-17.0231, 23.1733, -43.907) || Spherical Vector: (52.4844, 2.56179, 2.20437) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (17.0231, -23.1733, 43.907) || Spherical Vector: (52.4844, 0.579799, -0.937224) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (41.7867, -20.1419, -24.5518) || Spherical Vector: (52.4844, 2.05759, -0.449159) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-41.7867, 20.1419, 24.5518) || Spherical Vector: (52.4844, 1.084, 2.69243) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (8.60926, 49.7052, -14.4874) || Spherical Vector: (52.4844, 1.85046, 1.39929) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-8.60926, -49.7052, 14.4874) || Spherical Vector: (52.4844, 1.29113, -1.7423) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (0.0422485, 17.2753, 49.5599) || Spherical Vector: (52.4844, 0.335405, 1.56835) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-0.0422485, -17.2753, -49.5599) || Spherical Vector: (52.4844, 2.80619, -1.57324) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (23.1369, -37.7182, -28.2247) || Spherical Vector: (52.4844, 2.13859, -1.02057) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-23.1369, 37.7182, 28.2247) || Spherical Vector: (52.4844, 1.003, 2.12102) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-39.5014, 33.5391, 8.3299) || Spherical Vector: (52.4844, 1.41141, 2.43764) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (39.5014, -33.5391, -8.3299) || Spherical Vector: (52.4844, 1.73018, -0.703948) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-38.3048, 33.9512, 11.6048) || Spherical Vector: (52.4844, 1.34784, 2.41637) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (38.3048, -33.9512, -11.6048) || Spherical Vector: (52.4844, 1.79375, -0.725218) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (31.283, -35.448, -22.791) || Spherical Vector: (52.4844, 2.01999, -0.847732) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-31.283, 35.448, 22.791) || Spherical Vector: (52.4844, 1.1216, 2.29386) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-15.635, -43.7396, 24.4337) || Spherical Vector: (52.4844, 1.08655, -1.9141) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (15.635, 43.7396, -24.4337) || Spherical Vector: (52.4844, 2.05504, 1.22749) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-33.9978, 39.1505, -8.12414) || Spherical Vector: (52.4844, 1.72621, 2.28587) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (33.9978, -39.1505, 8.12414) || Spherical Vector: (52.4844, 1.41538, -0.855723) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-40.9314, -8.50248, -31.7324) || Spherical Vector: (52.4844, 2.22007, -2.93678) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (40.9314, 8.50248, 31.7324) || Spherical Vector: (52.4844, 0.921526, 0.204812) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (13.6753, 49.8684, 8.98569) || Spherical Vector: (52.4844, 1.39874, 1.30315) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-13.6753, -49.8684, -8.98569) || Spherical Vector: (52.4844, 1.74285, -1.83844) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-44.5627, -27.0594, -6.04741) || Spherical Vector: (52.4844, 1.68628, -2.59588) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (44.5627, 27.0594, 6.04741) || Spherical Vector: (52.4844, 1.45532, 0.545712) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (21.8408, -40.1799, -25.7521) || Spherical Vector: (52.4844, 2.08364, -1.0729) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-21.8408, 40.1799, 25.7521) || Spherical Vector: (52.4844, 1.05795, 2.06869) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-35.962, -31.2436, -22.027) || Spherical Vector: (52.4844, 2.0039, -2.42629) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (35.962, 31.2436, 22.027) || Spherical Vector: (52.4844, 1.1377, 0.715304) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (10.8232, 43.7257, 26.9358) || Spherical Vector: (52.4844, 1.03187, 1.32815) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-10.8232, -43.7257, -26.9358) || Spherical Vector: (52.4844, 2.10972, -1.81344) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (20.1005, 23.8479, 42.2121) || Spherical Vector: (52.4844, 0.636335, 0.87046) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-20.1005, -23.8479, -42.2121) || Spherical Vector: (52.4844, 2.50526, -2.27113) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (43.9108, 28.7345, 0.888993) || Spherical Vector: (52.4844, 1.55386, 0.579451) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-43.9108, -28.7345, -0.888993) || Spherical Vector: (52.4844, 1.58774, -2.56214) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (0.143026, -36.9815, 37.242) || Spherical Vector: (52.4844, 0.781892, -1.56693) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-0.143026, 36.9815, -37.242) || Spherical Vector: (52.4844, 2.3597, 1.57466) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (35.7777, 38.3924, -0.773359) || Spherical Vector: (52.4844, 1.58553, 0.820636) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-35.7777, -38.3924, 0.773359) || Spherical Vector: (52.4844, 1.55606, -2.32096) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (6.2868, -18.9332, -48.5451) || Spherical Vector: (52.4844, 2.75168, -1.2502) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-6.2868, 18.9332, 48.5451) || Spherical Vector: (52.4844, 0.389912, 1.89139) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-42.0755, 10.153, 29.6847) || Spherical Vector: (52.4844, 0.969647, 2.90482) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (42.0755, -10.153, -29.6847) || Spherical Vector: (52.4844, 2.17195, -0.236777) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (0.408156, -42.4804, 30.8199) || Spherical Vector: (52.4844, 0.943178, -1.56119) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-0.408156, 42.4804, -30.8199) || Spherical Vector: (52.4844, 2.19842, 1.5804) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (36.1217, -31.7289, 21.0503) || Spherical Vector: (52.4844, 1.1581, -0.720746) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-36.1217, 31.7289, -21.0503) || Spherical Vector: (52.4844, 1.98349, 2.42085) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (24.2773, -46.1509, 5.94313) || Spherical Vector: (52.4844, 1.45732, -1.08653) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-24.2773, 46.1509, -5.94313) || Spherical Vector: (52.4844, 1.68428, 2.05506) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (11.9711, 45.5471, -23.1684) || Spherical Vector: (52.4844, 2.02799, 1.31378) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-11.9711, -45.5471, 23.1684) || Spherical Vector: (52.4844, 1.1136, -1.82781) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-32.2136, 33.3496, -24.5906) || Spherical Vector: (52.4844, 2.05842, 2.33887) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (32.2136, -33.3496, 24.5906) || Spherical Vector: (52.4844, 1.08317, -0.802723) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-11.9361, 40.3122, 31.4177) || Spherical Vector: (52.4844, 0.929031, 1.85866) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (11.9361, -40.3122, -31.4177) || Spherical Vector: (52.4844, 2.21256, -1.28293) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-19.5901, -48.6039, 2.91637) || Spherical Vector: (52.4844, 1.5152, -1.95393) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (19.5901, 48.6039, -2.91637) || Spherical Vector: (52.4844, 1.62639, 1.18766) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-51.0938, -8.78036, -8.18194) || Spherical Vector: (52.4844, 1.72733, -2.97141) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (51.0938, 8.78036, 8.18194) || Spherical Vector: (52.4844, 1.41427, 0.170185) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-51.204, 10.7774, 4.07623) || Spherical Vector: (52.4844, 1.49305, 2.93414) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (51.204, -10.7774, -4.07623) || Spherical Vector: (52.4844, 1.64854, -0.207451) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (51.1548, 5.52904, -10.3555) || Spherical Vector: (52.4844, 1.76941, 0.107667) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-51.1548, -5.52904, 10.3555) || Spherical Vector: (52.4844, 1.37219, -3.03393) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-37.3931, 18.3861, 31.9112) || Spherical Vector: (52.4844, 0.917242, 2.68461) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (37.3931, -18.3861, -31.9112) || Spherical Vector: (52.4844, 2.22435, -0.456984) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-5.97117, 8.44597, 51.4551) || Spherical Vector: (52.4844, 0.198377, 2.1862) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (5.97117, -8.44597, -51.4551) || Spherical Vector: (52.4844, 2.94322, -0.955397) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-0.371249, -49.1111, -18.5088) || Spherical Vector: (52.4844, 1.9312, -1.57836) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (0.371249, 49.1111, 18.5088) || Spherical Vector: (52.4844, 1.21039, 1.56324) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (36.7259, -0.449931, -37.4917) || Spherical Vector: (52.4844, 2.36647, -0.0122504) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-36.7259, 0.449931, 37.4917) || Spherical Vector: (52.4844, 0.775118, 3.12934) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-40.9799, -31.4984, -9.11701) || Spherical Vector: (52.4844, 1.74539, -2.48627) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (40.9799, 31.4984, 9.11701) || Spherical Vector: (52.4844, 1.3962, 0.655318) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-28.1953, -28.7272, 33.6808) || Spherical Vector: (52.4844, 0.874046, -2.34685) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (28.1953, 28.7272, -33.6808) || Spherical Vector: (52.4844, 2.26755, 0.794742) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (37.8217, -3.28041, -36.2405) || Spherical Vector: (52.4844, 2.33298, -0.0865171) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-37.8217, 3.28041, 36.2405) || Spherical Vector: (52.4844, 0.808617, 3.05508) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-32.3783, -15.7101, -38.2028) || Spherical Vector: (52.4844, 2.38603, -2.68985) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (32.3783, 15.7101, 38.2028) || Spherical Vector: (52.4844, 0.755559, 0.451742) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (11.8032, 38.329, -33.8554) || Spherical Vector: (52.4844, 2.27189, 1.27207) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-11.8032, -38.329, 33.8554) || Spherical Vector: (52.4844, 0.8697, -1.86953) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-2.67751, 27.2745, -44.761) || Spherical Vector: (52.4844, 2.5922, 1.66865) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (2.67751, -27.2745, 44.761) || Spherical Vector: (52.4844, 0.54939, -1.47294) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (42.6423, -17.7516, -24.9225) || Spherical Vector: (52.4844, 2.0656, -0.394471) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-42.6423, 17.7516, 24.9225) || Spherical Vector: (52.4844, 1.076, 2.74712) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (12.0456, 47.4933, 18.8124) || Spherical Vector: (52.4844, 1.2042, 1.32241) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-12.0456, -47.4933, -18.8124) || Spherical Vector: (52.4844, 1.93739, -1.81919) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
