entry run subrun event num_rank0_electrons electron1_theta_deg electron1_phi_deg electron2_theta_deg electron2_phi_deg
220 1430 0 372 2 79.6869 -0.143282 100.313 179.857
226 1430 0 379 2 103.076 -159.189 76.9238 20.8114
233 1430 0 392 2 73.4023 -152.618 106.598 27.3819
235 1430 0 394 2 61.9477 -79.4604 118.052 100.54
237 1430 0 396 2 108.632 -147.933 71.3681 32.0675
238 1430 0 397 2 94.2191 -69.5889 85.7809 110.411
240 1430 0 402 2 114.871 -109.962 65.1289 70.0384
241 1430 0 403 2 98.7729 -69.2432 81.2271 110.757
242 1430 0 404 2 101.736 52.3391 78.2642 -127.661
244 1430 0 407 2 95.4719 111.922 84.5281 -68.0783
246 1430 0 409 2 67.3085 -16.5578 112.692 163.442
247 1430 0 410 2 119.32 -12.406 60.6802 167.594
248 1430 0 411 2 106.186 -28.7091 73.8141 151.291
250 1430 0 421 2 116.764 -111.235 63.2357 68.7651
253 1430 0 426 2 109.882 -110.839 70.1177 69.1607
256 1430 0 429 2 118.578 131.015 61.4223 -48.9851
257 1430 0 432 2 111.723 -41.1643 68.2774 138.836
259 1430 0 434 2 102.253 37.127 77.7473 -142.873
261 1430 0 437 2 102.31 -144.303 77.6899 35.697
263 1430 0 448 2 89.9664 87.2848 90.0336 -92.7152
265 1430 0 453 2 108.659 99.8987 71.3413 -80.1013
266 1430 0 457 2 91.574 -127.753 88.426 52.2473
267 1430 0 462 2 117.929 -148.415 62.0709 31.5847
270 1430 0 470 2 64.6347 -106.476 115.365 73.5237
273 1430 0 475 2 111.595 128.1 68.4051 -51.8999
275 1430 0 477 2 91.991 69.674 88.009 -110.326
276 1430 0 478 2 63.1291 81.0873 116.871 -98.9127
277 1430 0 479 2 98.0909 133.987 81.9091 -46.0126
285 1430 0 497 2 76.4922 9.41914 103.508 -170.581
288 1430 0 505 2 66.9941 92.6953 113.006 -87.3047
289 1430 0 506 2 93.0729 -136.086 86.9271 43.9142
290 1430 0 508 2 58.8602 89.2829 121.14 -90.7171
292 1430 0 511 2 115.998 -57.0797 64.0016 122.92
293 1430 0 513 2 74.3473 -10.3144 74.3473 -10.3144
294 1430 0 514 2 112.98 95.9812 67.0201 -84.0188
296 1430 0 517 2 79.5237 -50.4549 100.476 129.545
304 1430 0 527 2 77.8329 113.015 102.167 -66.9852
308 1430 0 537 2 108.561 8.33857 71.4386 -171.661
309 1430 0 538 2 75.0741 60.8874 104.926 -119.113
312 1430 0 541 2 65.7128 83.1092 114.287 -96.8908
313 1430 0 542 2 108.497 -11.3493 71.5031 168.651
321 1430 0 560 2 81.5997 -83.1009 98.4003 96.8991
324 1430 0 565 2 102.414 -25.9863 77.5862 154.014
325 1430 0 566 2 87.2367 -33.8295 92.7633 146.17
327 1430 0 569 2 76.0978 21.7795 103.902 -158.221
328 1430 0 571 2 113.778 -30.1662 66.2218 149.834
329 1430 0 573 2 72.1457 161.738 107.854 -18.262
334 1430 0 584 2 97.9086 -75.2575 82.0914 104.742
335 1430 0 585 2 95.4829 96.1869 84.5171 -83.8131
336 1430 0 587 2 61.8792 -5.14155 118.121 174.858
340 1430 0 595 2 87.226 50.3015 92.774 -129.699
345 1430 0 602 2 104.634 93.0604 75.3663 -86.9396
347 1430 0 604 2 87.4129 -30.3329 92.5871 149.667
348 1430 0 607 2 67.3533 -46.3776 112.647 133.622
351 1430 0 610 2 119.834 146.545 60.1659 -33.4547
352 1430 0 611 2 111.315 -18.2573 68.685 161.743
356 1430 0 617 2 100.186 145.759 79.8137 -34.2414
358 1430 0 620 2 82.8651 -74.8429 97.1349 105.157
360 1430 0 629 2 76.536 -178.594 103.464 1.40627
361 1430 0 630 2 104.359 136.154 75.6406 -43.8463
363 1430 0 632 2 100.405 -4.96771 79.5946 175.032
364 1430 0 634 2 86.1656 157.723 93.8344 -22.2766
365 1430 0 636 2 65.2749 -22.3683 114.725 157.632
366 1430 0 638 2 88.4217 167.972 91.5783 -12.0284
367 1430 0 639 2 114.349 -6.00768 65.651 173.992
370 1430 0 646 2 120.762 131.045 59.2376 -48.9554
372 1430 0 648 2 87.4662 -90.7456 92.5338 89.2544
373 1430 0 649 2 99.2855 82.1657 80.7145 -97.8343
375 1430 0 654 2 96.365 -165.803 83.635 14.1971
379 1430 0 660 2 99.6029 -148.11 80.3971 31.8898
383 1430 0 666 2 79.6901 4.00218 100.31 -175.998
384 1430 0 668 2 87.5603 -49.9122 92.4397 130.088
388 1430 0 675 2 78.324 5.26784 101.676 -174.732
389 1430 0 677 2 79.7291 -38.8793 100.271 141.121
390 1430 0 678 2 86.63 158.119 93.37 -21.8813
399 1430 0 696 2 120.199 -65.2066 59.8014 114.793
400 1430 0 698 2 110.48 69.5745 69.5201 -110.425
401 1430 0 699 2 62.3209 2.01603 117.679 -177.984
402 1430 0 701 2 74.8913 -132.969 105.109 47.0313
403 1430 0 703 2 119.497 150.993 60.5027 -29.0073
404 1430 0 704 2 79.8673 -83.2482 100.133 96.7518
406 1430 0 706 2 62.04 -59.4939 117.96 120.506
408 1430 0 708 2 78.4685 -99.0856 101.532 80.9144
409 1430 0 709 2 77.176 -24.5912 102.824 155.409
411 1430 0 711 2 102.391 5.9253 77.6093 -174.075
418 1430 0 725 2 65.857 -64.2584 114.143 115.742
420 1430 0 728 2 100.887 -119.048 79.1127 60.9522
421 1430 0 729 2 93.1761 141.342 86.8239 -38.6578
423 1430 0 731 2 109.508 -132.331 70.4915 47.6693
429 1430 0 740 2 77.7473 106.848 102.253 -73.152
433 1430 0 748 2 107.832 125.577 72.1676 -54.423
434 1430 0 749 2 82.4589 -119.193 97.5411 60.807
436 1430 0 751 2 115.892 18.4288 64.1078 -161.571
437 1430 0 752 2 103.884 -107.143 76.1158 72.8566
441 1430 0 760 2 94.5341 -87.2101 85.4659 92.7899
443 1430 0 766 2 109.213 -79.9827 70.7871 100.017
444 1430 0 768 2 90.2025 50.792 89.7975 -129.208
445 1430 0 769 2 76.8274 -36.1734 103.173 143.827
446 1430 0 770 2 108.524 -29.2069 71.4761 150.793
451 1430 0 782 2 79.7381 136.456 100.262 -43.5443
452 1430 0 783 2 77.6742 -173.108 102.326 6.89249
455 1430 0 789 2 100.958 20.8327 79.0424 -159.167
456 1430 0 790 2 93.1138 13.1083 86.8862 -166.892
458 1430 0 793 2 76.786 1.97162 103.214 -178.028
459 1430 0 795 2 82.1511 -14.5349 97.8489 165.465
461 1430 0 800 2 69.7899 38.4948 110.21 -141.505
462 1430 0 803 2 75.9452 139.725 104.055 -40.2748
465 1430 0 810 2 90.5255 177.401 89.4745 -2.59944
467 1430 0 812 2 88.3513 -97.5928 91.6487 82.4072
468 1430 0 813 2 117.41 -162.104 62.5901 17.8956
469 1430 0 821 2 119.005 -62.9531 60.9954 117.047
470 1430 0 822 2 107.623 143.262 72.3772 -36.7382
473 1430 0 829 2 94.7816 -33.7177 85.2184 146.282
476 1430 0 832 2 81.4702 -14.1629 98.5298 165.837
477 1430 0 834 2 105.458 45.0364 74.5423 -134.964
480 1430 0 838 2 70.146 139.388 109.854 -40.6118
481 1430 0 840 2 93.9475 72.1743 86.0525 -107.826
483 1430 0 842 2 95.2054 -172.326 84.7946 7.67446
485 1430 0 846 2 113.09 -27.2234 66.9097 152.777
487 1430 0 849 2 91.0887 158.411 88.9113 -21.5889
489 1430 0 851 2 79.2433 -140.518 100.757 39.4825
490 1430 0 854 2 97.9459 167.156 82.0541 -12.8443
491 1430 0 855 2 105.284 -93.0835 74.7156 86.9165
493 1430 0 857 2 80.2332 143.764 99.7668 -36.2356
499 1430 0 866 2 91.2485 168.382 88.7515 -11.6178
501 1430 0 872 2 97.828 -172.081 82.172 7.91911
502 1430 0 874 2 117.38 89.3735 62.6199 -90.6265
503 1430 0 875 2 96.4194 32.7808 83.5806 -147.219
505 1430 0 878 2 113.444 -57.4149 66.5565 122.585
508 1430 0 887 2 105.066 121.162 74.9341 -58.8385
509 1430 0 889 2 79.2301 106.391 100.77 -73.6086
510 1430 0 893 2 73.1351 19.8535 106.865 -160.146
514 1430 0 902 2 60.0868 74.3148 119.913 -105.685
525 1430 0 915 2 94.3452 4.63673 85.6548 -175.363
526 1430 0 916 2 84.6479 -30.2389 95.3521 149.761
528 1430 0 918 2 87.1395 -137.411 92.8605 42.5887
530 1430 0 927 2 91.151 23.3145 88.849 -156.685
531 1430 0 928 2 63.093 -160.964 116.907 19.0357
536 1430 0 935 2 117.105 -30.7298 62.8954 149.27
537 1430 0 936 2 67.6322 -153.719 112.368 26.2811
538 1430 0 938 2 86.3175 119.749 93.6825 -60.2514
539 1430 0 939 2 60.4371 35.9508 119.563 -144.049
540 1430 0 940 2 86.9819 43.9055 93.0181 -136.094
542 1430 0 944 2 73.5624 -124.441 106.438 55.5588
545 1430 0 948 2 94.6574 169.386 85.3426 -10.6145
547 1430 0 950 2 87.3362 36.9979 92.6638 -143.002
548 1430 0 951 2 105.189 -174.973 74.8107 5.02693
550 1430 0 953 2 61.5987 -142.155 118.401 37.8452
551 1430 0 955 2 64.6441 -162.363 115.356 17.637
553 1430 0 958 2 103.398 174.95 103.398 174.95
556 1430 0 963 2 84.5006 4.94204 95.4994 -175.058
557 1430 0 966 2 62.3296 -2.4973 117.67 177.503
558 1430 0 969 2 102.965 14.51 77.0347 -165.49
559 1430 0 970 2 79.0416 -16.7259 100.958 163.274
560 1430 0 972 2 100.149 139.92 79.8513 -40.0797
561 1430 0 973 2 97.256 -60.6128 82.744 119.387
563 1430 0 979 2 74.8113 -131.256 105.189 48.7441
564 1430 0 980 2 81.4651 -142.742 98.5349 37.2575
567 1430 0 987 2 97.4554 1.05794 82.5446 -178.942
568 1430 0 990 2 64.2447 18.6211 115.755 -161.379
570 1430 0 992 2 109.295 -2.83142 70.7049 177.169
576 1430 0 1007 2 53.8068 -9.13893 53.8068 -9.13893
578 1430 0 1012 2 81.8072 -40.6985 98.1928 139.302
579 1430 0 1013 2 88.6141 -150.532 91.3859 29.4683
580 1430 0 1015 2 111.493 -172.159 68.5066 7.84087
582 1430 0 1025 2 85.7005 49.4422 94.2995 -130.558
585 1430 0 1029 2 94.9657 134.035 85.0343 -45.9654
587 1430 0 1031 2 58.7523 -39.5336 121.248 140.466
589 1430 0 1036 2 92.5803 68.114 87.4197 -111.886
593 1430 0 1040 2 91.6172 20.976 88.3828 -159.024
594 1430 0 1041 2 113.203 51.2246 66.797 -128.775
595 1430 0 1042 2 110.435 -74.7884 69.5649 105.212
596 1430 0 1043 2 105.39 133.488 74.6102 -46.5121
599 1430 0 1048 2 61.1817 -137.005 118.818 42.9955
600 1430 0 1049 2 114.492 -45.4955 65.5082 134.505
602 1430 0 1053 2 119.812 93.8829 60.1879 -86.1171
603 1430 0 1054 2 96.065 55.1805 83.935 -124.82
606 1430 0 1058 2 67.2701 36.6608 112.73 -143.339
608 1430 0 1060 2 79.0159 -92.9036 100.984 87.0964
609 1430 0 1061 2 112.581 -32.7478 67.4187 147.252
614 1430 0 1069 2 81.2757 -102.939 98.7243 77.0614
615 1430 0 1070 2 74.5883 81.5938 105.412 -98.4062
616 1430 0 1072 2 73.5449 131.02 106.455 -48.9804
618 1430 0 1075 2 107.376 -12.9542 72.6241 167.046
619 1430 0 1076 2 81.286 126.286 98.714 -53.7139
625 1430 0 1083 2 68.3703 -156.226 111.63 23.7735
628 1430 0 1089 2 115.44 -76.1854 64.5598 103.815
630 1430 0 1094 2 64.8837 150.427 115.116 -29.573
633 1430 0 1100 2 87.9332 -17.5551 92.0668 162.445
634 1430 0 1101 2 117.966 -158.273 62.0341 21.7275
636 1430 0 1107 2 65.9903 142.771 114.01 -37.2295
641 1430 0 1113 2 74.1624 -56.8037 105.838 123.196
647 1430 0 1120 2 87.9897 -76.4015 92.0103 103.599
648 1430 0 1121 2 120.508 -80.1275 59.4915 99.8725
649 1430 0 1123 2 83.0104 43.8946 96.9896 -136.105
654 1430 0 1136 2 63.0704 -152.535 116.93 27.4654
655 1430 0 1138 2 74.128 2.42885 105.872 -177.571
658 1430 0 1152 2 77.803 -163.01 102.197 16.9897
659 1430 0 1153 2 69.2642 -83.1281 110.736 96.8719
660 1430 0 1155 2 94.8582 67.4579 85.1418 -112.542
662 1430 0 1159 2 93.568 -120.878 86.432 59.1223
668 1430 0 1167 2 60.6352 -41.7801 119.365 138.22
671 1430 0 1175 2 71.5514 -148.432 108.449 31.5675
675 1430 0 1182 2 68.7842 2.83043 111.216 -177.17
676 1430 0 1183 2 77.2513 -96.7437 102.749 83.2563
677 1430 0 1184 2 116.124 -52.5754 63.8759 127.425
679 1430 0 1186 2 99.5247 47.2515 80.4753 -132.748
682 1430 0 1193 2 89.2601 -32.2461 90.7399 147.754
683 1430 0 1194 2 61.5162 -71.8554 118.484 108.145
687 1430 0 1201 2 81.0168 -112.513 98.9832 67.4867
688 1430 0 1202 2 63.6526 86.3029 116.347 -93.6971
689 1430 0 1204 2 77.6521 -144.653 102.348 35.3466
690 1430 0 1205 2 109.264 -89.6118 70.7357 90.3882
691 1430 0 1207 2 100.68 62.7466 79.3196 -117.253
692 1430 0 1208 2 83.0951 -125.854 96.9049 54.1461
694 1430 0 1211 2 64.434 -21.3079 115.566 158.692
696 1430 0 1213 2 62.7218 126.658 117.278 -53.3418
697 1430 0 1214 2 68.0843 -4.18273 111.916 175.817
698 1430 0 1217 2 74.4848 44.1273 105.515 -135.873
699 1430 0 1218 2 85.067 159.675 94.933 -20.325
700 1430 0 1219 2 93.8721 -171.748 86.1279 8.25171
702 1430 0 1224 2 76.4027 -6.4317 103.597 173.568
707 1430 0 1230 2 83.1139 97.5964 96.8861 -82.4036
712 1430 0 1237 2 61.9006 141.33 118.099 -38.6702
714 1430 0 1239 2 115.516 -93.3207 64.4842 86.6793
720 1430 0 1246 2 110.851 4.54295 69.1492 -175.457
723 1430 0 1251 2 118.564 91.272 61.436 -88.728
724 1430 0 1253 2 121.658 99.7093 58.3422 -80.2907
725 1430 0 1254 2 62.9574 -52.9082 117.043 127.092
726 1430 0 1255 2 73.6141 -146.115 106.386 33.8847
727 1430 0 1257 2 97.3155 64.2135 82.6845 -115.787
735 1430 0 1269 2 117.399 -55.9024 62.601 124.098
737 1430 0 1272 2 103.708 -165.76 76.2916 14.24
742 1430 0 1277 2 121.918 62.8761 58.0824 -117.124
746 1430 0 1283 2 66.8066 156.805 113.193 -23.1951
747 1430 0 1285 2 92.7434 -98.4561 87.2566 81.5439
750 1430 0 1289 2 93.2121 -110.58 86.7879 69.4199
751 1430 0 1292 2 84.2492 37.2743 95.7508 -142.726
753 1430 0 1296 2 61.8233 138.707 118.177 -41.293
760 1430 0 1311 2 62.7142 -65.7159 117.286 114.284
763 1430 0 1314 2 92.3675 -118.679 87.6325 61.321
765 1430 0 1316 2 58.9515 147.433 121.049 -32.5672
766 1430 0 1317 2 100.678 103.822 79.322 -76.1782
767 1430 0 1319 2 102.218 -5.84669 77.7817 174.153
769 1430 0 1322 2 85.6964 151.806 94.3036 -28.1943
770 1430 0 1323 2 107.99 68.7516 72.0101 -111.248
771 1430 0 1325 2 96.9248 38.2739 83.0752 -141.726
774 1430 0 1330 2 95.8739 -140.951 84.1261 39.049
777 1430 0 1336 2 92.9556 129.071 87.0444 -50.9287
783 1430 0 1350 2 61.4007 -79.2398 118.599 100.76
788 1430 0 1357 2 105.286 99.7174 74.714 -80.2826
789 1430 0 1358 2 96.7158 109.144 83.2842 -70.8556
790 1430 0 1361 2 84.3151 6.41349 95.6849 -173.587
791 1430 0 1362 2 100.506 -21.5995 79.4938 158.401
796 1430 0 1369 2 99.5926 170.081 80.4074 -9.91907
797 1430 0 1370 2 89.9103 53.0392 90.0897 -126.961
798 1430 0 1372 2 103.372 -80.9461 76.6276 99.0539
800 1430 0 1374 2 84.4287 -33.7697 95.5713 146.23
806 1430 0 1386 2 66.5767 156.081 113.423 -23.9188
809 1430 0 1390 2 69.7745 -54.6032 110.226 125.397
817 1430 0 1401 2 76.8655 177.847 103.135 -2.15339
820 1430 0 1404 2 71.3593 -173.706 108.641 6.29354
821 1430 0 1407 2 104.976 163.907 75.0242 -16.0926
822 1430 0 1409 2 122.416 156.573 57.5838 -23.4266
828 1430 0 1420 2 98.7758 73.4438 81.2242 -106.556
829 1430 0 1422 2 106.498 71.465 73.5019 -108.535
833 1430 0 1429 2 80.3889 26.4275 99.6111 -153.572
839 1430 0 1437 2 79.7472 -76.928 100.253 103.072
842 1430 0 1440 2 117.277 6.9643 62.7227 -173.036
845 1430 0 1444 2 87.7619 -137.133 92.2381 42.8669
846 1430 0 1445 2 74.4634 84.572 105.537 -95.428
847 1430 0 1446 2 95.9604 110.339 84.0396 -69.6605
849 1430 0 1449 2 92.81 17.1171 87.19 -162.883
850 1430 0 1451 2 72.5679 165.79 107.432 -14.2104
854 1430 0 1456 2 70.3848 26.0654 109.615 -153.935
857 1430 0 1461 2 109.49 -58.0001 70.5096 122
858 1430 0 1462 2 87.7543 144.707 92.2457 -35.2932
862 1430 0 1467 2 106.13 -115.568 73.8699 64.4315
863 1430 0 1468 2 106.955 96.4222 73.0452 -83.5778
865 1430 0 1470 2 68.2035 -164.036 111.796 15.9643
866 1430 0 1471 2 93.4719 -73.5048 86.5281 106.495
872 1430 0 1480 2 113.195 -50.5686 66.8046 129.431
877 1430 0 1489 2 115.609 -97.6978 64.391 82.3022
879 1430 0 1495 2 91.7958 38.9039 88.2042 -141.096
880 1430 0 1497 2 70.6776 -49.9652 109.322 130.035
884 1430 0 1508 2 90.4509 140.025 89.5491 -39.9749
885 1430 0 1510 2 92.7291 -95.4602 87.2709 84.5398
886 1430 0 1511 2 85.1791 75.6014 94.8209 -104.399
889 1430 0 1516 2 88.9459 135.589 91.0541 -44.4114
893 1430 0 1523 2 81.8474 25.959 98.1526 -154.041
896 1430 0 1535 2 68.123 -130.382 111.877 49.6175
898 1430 0 1538 2 103.962 84.0873 76.0379 -95.9127
901 1430 0 1544 2 64.6328 -64.4497 115.367 115.55
902 1430 0 1545 2 78.9755 -62.2328 101.024 117.767
905 1430 0 1548 2 105.207 -122.182 74.7933 57.8182
906 1430 0 1549 2 75.9884 147.642 104.012 -32.3575
907 1430 0 1550 2 95.16 -129.837 84.84 50.1626
908 1430 0 1551 2 82.0458 -132.437 97.9542 47.5628
910 1430 0 1553 2 100.395 -174.021 79.6052 5.97916
917 1430 0 1570 2 98.0261 31.5056 81.9739 -148.494
918 1430 0 1571 2 95.1228 16.2441 84.8772 -163.756
919 1430 0 1572 2 109.285 121.4 70.7148 -58.6002
920 1430 0 1573 2 86.8871 29.4598 93.1129 -150.54
921 1430 0 1577 2 114.691 4.0303 65.309 -175.97
923 1430 0 1579 2 95.8626 -90.5215 84.1374 89.4785
924 1430 0 1581 2 90.764 -83.6152 89.236 96.3848
925 1430 0 1582 2 93.8285 161.501 86.1715 -18.4987
926 1430 0 1585 2 74.5457 -70.9217 105.454 109.078
933 1430 0 1602 2 102.663 175.894 77.3375 -4.10625
938 1430 0 1610 2 84.7302 -103.018 95.2698 76.9818
939 1430 0 1612 2 98.0083 35.4716 81.9917 -144.528
941 1430 0 1615 2 84.9524 -81.6506 95.0476 98.3494
950 1430 0 1642 2 80.568 131.304 99.432 -48.6958
960 1430 0 1665 2 90.4791 178.619 89.5209 -1.38058
962 1430 0 1668 2 60.2556 -88.6273 119.744 91.3727
965 1430 0 1674 2 108.433 61.0928 71.5666 -118.907
966 1430 0 1675 2 102.188 -22.2915 77.8123 157.708
968 1430 0 1678 2 65.8718 158.132 114.128 -21.8683
969 1430 0 1679 2 73.5405 130.577 106.46 -49.4232
970 1430 0 1681 2 103.006 142.79 76.9936 -37.2101
971 1430 0 1683 2 84.9446 -33.6756 95.0554 146.324
972 1430 0 1685 2 91.6458 168.584 88.3542 -11.4161
973 1430 0 1686 2 62.5041 -15.4624 117.496 164.538
976 1430 0 1692 2 82.0999 19.275 97.9001 -160.725
977 1430 0 1693 2 85.8001 -157.918 94.1999 22.0817
985 1430 0 1706 2 66.9024 74.4041 113.098 -105.596
986 1430 0 1707 2 117.171 -165.755 62.8291 14.2451
988 1430 0 1714 2 107.766 63.6834 72.2337 -116.317
989 1430 0 1715 2 49.4421 82.3662 49.4421 82.3662
990 1430 0 1716 2 109.186 136.938 70.8136 -43.0616
994 1430 0 1723 2 92.6149 53.9188 87.3851 -126.081
997 1430 0 1726 2 106.284 -176.663 73.7158 3.33669
998 1430 0 1728 2 115.447 -66.0316 64.5535 113.968
1000 1430 0 1738 2 107.584 -78.0592 72.4164 101.941
1003 1430 0 1742 2 106.594 111.603 73.4062 -68.397
1004 1430 0 1743 2 60.8946 88.7163 119.105 -91.2837
1006 1430 0 1746 2 73.0217 20.7269 106.978 -159.273
1008 1430 0 1749 2 106.534 126.436 73.4659 -53.5641
1015 1430 0 1759 2 103.506 108.477 76.4941 -71.5228
1017 1430 0 1761 2 64.8277 100.213 115.172 -79.7867
1019 1430 0 1764 2 61.9021 148.952 118.098 -31.048
1022 1430 0 1771 2 113.103 -42.3215 66.8968 137.679
1030 1430 0 1784 2 66.0624 153.745 113.938 -26.2546
1031 1430 0 1788 2 110.514 -67.7682 69.4856 112.232
1039 1430 0 1812 2 78.7877 37.0955 101.212 -142.905
1042 1430 0 1815 2 73.3626 -157.201 106.637 22.7994
1044 1430 0 1817 2 103.232 -2.56757 76.768 177.432
1046 1430 0 1822 2 101.013 -175.734 78.9868 4.2664
